Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTestCases,Chrome 134.0.6998.89,,,19-03-2025 18:18:35,19-03-2025 18:18:46,10.510s,FAILED
,,,,,,,
Test Cases/RegisterPage,Chrome 134.0.6998.89,,,19-03-2025 18:18:40,19-03-2025 18:18:41,1.134s,FAILED
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 18:18:40,19-03-2025 18:18:41,1.018s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 18:18:41,19-03-2025 18:18:41,0.106s,FAILED
,,,,,,,
Test Cases/LoginPage,Chrome 134.0.6998.89,,,19-03-2025 18:18:44,19-03-2025 18:18:46,1.348s,FAILED
"DATA BINDING - {""invalidUsername"":""testing2025@gmail.com"",""(Default) Expec..."":"""",""validPassword"":""Testing@12345"",""(Default) actua..."":"""",""validUsername"":""testing2025@gmail.com"",""InvalidPassword"":""Testing@345""}",,,,,,,
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 18:18:44,19-03-2025 18:18:46,1.222s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 18:18:46,19-03-2025 18:18:46,0.114s,FAILED
