Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTestCases,Chrome 134.0.6998.89,,,19-03-2025 18:19:56,19-03-2025 18:20:07,10.516s,FAILED
,,,,,,,
Test Cases/RegisterPage,Chrome 134.0.6998.89,,,19-03-2025 18:20:01,19-03-2025 18:20:02,1.134s,FAILED
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 18:20:01,19-03-2025 18:20:02,0.998s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 18:20:02,19-03-2025 18:20:02,0.128s,FAILED
,,,,,,,
Test Cases/LoginPage,Chrome 134.0.6998.89,,,19-03-2025 18:20:06,19-03-2025 18:20:07,1.101s,FAILED
"DATA BINDING - {""invalidUsername"":""testing2025@gmail.com"",""(Default) Expec..."":"""",""validPassword"":""Testing@12345"",""(Default) actua..."":"""",""validUsername"":""testing2025@gmail.com"",""InvalidPassword"":""Testing@345""}",,,,,,,
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 18:20:06,19-03-2025 18:20:07,0.993s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 18:20:07,19-03-2025 18:20:07,0.098s,FAILED
