Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTestCases,Chrome 134.0.6998.89,,,19-03-2025 18:26:31,19-03-2025 18:27:10,38.889s,PASSED
,,,,,,,
Test Cases/RegisterPage,Chrome 134.0.6998.89,,,19-03-2025 18:26:31,19-03-2025 18:26:47,15.570s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 18:26:31,19-03-2025 18:26:33,1.701s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 18:26:33,19-03-2025 18:26:37,4.233s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,19-03-2025 18:26:37,19-03-2025 18:26:37,0.045s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:26:37,19-03-2025 18:26:39,2.016s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/userEmail""), ""testing20222@gmail.com"")",Chrome 134.0.6998.89,,,19-03-2025 18:26:39,19-03-2025 18:26:40,0.331s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:26:40,19-03-2025 18:26:42,2.018s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/userPassword""), ""Testing@12345"")",Chrome 134.0.6998.89,,,19-03-2025 18:26:42,19-03-2025 18:26:42,0.302s,PASSED
"click(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/registerBtn""))",Chrome 134.0.6998.89,,,19-03-2025 18:26:42,19-03-2025 18:26:44,2.528s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:26:44,19-03-2025 18:26:46,2.005s,PASSED
"comment(""User Regsistered successfully"")",Chrome 134.0.6998.89,,,19-03-2025 18:26:46,19-03-2025 18:26:46,0.000s,PASSED
closeBrowser(),Chrome 134.0.6998.89,,,19-03-2025 18:26:46,19-03-2025 18:26:47,0.218s,PASSED
,,,,,,,
Test Cases/LoginPage,Chrome 134.0.6998.89,,,19-03-2025 18:26:47,19-03-2025 18:27:10,23.161s,PASSED
"DATA BINDING - {""invalidUsername"":""InvalidUsername@gmail.com"",""(Default) Expec..."":"""",""validPassword"":""Testing@12345"",""(Default) actua..."":"""",""validUsername"":""testing2025@gmail.com"",""InvalidPassword"":""Testing@345""}",,,,,,,
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 18:26:47,19-03-2025 18:26:48,0.908s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 18:26:48,19-03-2025 18:26:51,3.665s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,19-03-2025 18:26:51,19-03-2025 18:26:51,0.034s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:26:51,19-03-2025 18:26:53,2.005s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Login_username""), invalidUsername)",Chrome 134.0.6998.89,,,19-03-2025 18:26:53,19-03-2025 18:26:54,0.295s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:26:54,19-03-2025 18:26:56,2.007s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Login__password""), InvalidPassword)",Chrome 134.0.6998.89,,,19-03-2025 18:26:56,19-03-2025 18:26:56,0.282s,PASSED
"click(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/LoginBtn""))",Chrome 134.0.6998.89,,,19-03-2025 18:26:56,19-03-2025 18:26:58,2.161s,PASSED
"getText(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Page_My Account  Automation Practice Site/li_Error The password you entered for the username FF is incorrect. Lost your password""))",Chrome 134.0.6998.89,,,19-03-2025 18:26:58,19-03-2025 18:26:59,0.609s,PASSED
"comment(""Login unsuccessful"")",Chrome 134.0.6998.89,,,19-03-2025 18:26:59,19-03-2025 18:26:59,0.001s,PASSED
"clearText(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Login_username""))",Chrome 134.0.6998.89,,,19-03-2025 18:26:59,19-03-2025 18:26:59,0.687s,PASSED
"clearText(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Login__password""))",Chrome 134.0.6998.89,,,19-03-2025 18:26:59,19-03-2025 18:27:00,0.271s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Login_username""), validUsername)",Chrome 134.0.6998.89,,,19-03-2025 18:27:00,19-03-2025 18:27:00,0.316s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:27:00,19-03-2025 18:27:02,2.020s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/Login__password""), validPassword)",Chrome 134.0.6998.89,,,19-03-2025 18:27:02,19-03-2025 18:27:02,0.330s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:27:02,19-03-2025 18:27:04,2.010s,PASSED
"click(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/LoginBtn""))",Chrome 134.0.6998.89,,,19-03-2025 18:27:04,19-03-2025 18:27:07,2.806s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 18:27:07,19-03-2025 18:27:09,2.005s,PASSED
"comment(""User logged in successfully"")",Chrome 134.0.6998.89,,,19-03-2025 18:27:09,19-03-2025 18:27:09,0.000s,PASSED
"ConfirmationMsg = getText(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/ConfirmationMessageAfterLogin""))",Chrome 134.0.6998.89,,,19-03-2025 18:27:09,19-03-2025 18:27:09,0.284s,PASSED
"verifyEqual(actualMsg, ExpectedMsg)",Chrome 134.0.6998.89,,,19-03-2025 18:27:09,19-03-2025 18:27:10,0.032s,PASSED
closeBrowser(),Chrome 134.0.6998.89,,,19-03-2025 18:27:10,19-03-2025 18:27:10,0.347s,PASSED
