Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTestCases,Chrome 134.0.6998.89,,,19-03-2025 21:13:17,19-03-2025 21:13:57,39.645s,PASSED
,,,,,,,
Test Cases/RegisterPage,Chrome 134.0.6998.89,,,19-03-2025 21:13:17,19-03-2025 21:13:33,16.059s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 21:13:17,19-03-2025 21:13:19,1.932s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 21:13:19,19-03-2025 21:13:24,4.525s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,19-03-2025 21:13:24,19-03-2025 21:13:24,0.042s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 21:13:24,19-03-2025 21:13:26,2.030s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/userEmail""), ""testing2027@gmail.com"")",Chrome 134.0.6998.89,,,19-03-2025 21:13:26,19-03-2025 21:13:26,0.311s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 21:13:26,19-03-2025 21:13:28,2.008s,PASSED
"sendKeys(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/userPassword""), ""Testing@12345"")",Chrome 134.0.6998.89,,,19-03-2025 21:13:28,19-03-2025 21:13:29,0.305s,PASSED
"click(findTestObject(""AutomationDemo/Page_My Account  Automation Practice Site/registerBtn""))",Chrome 134.0.6998.89,,,19-03-2025 21:13:29,19-03-2025 21:13:31,2.489s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 21:13:31,19-03-2025 21:13:33,2.016s,PASSED
"comment(""User Regsistered successfully"")",Chrome 134.0.6998.89,,,19-03-2025 21:13:33,19-03-2025 21:13:33,0.003s,PASSED
closeBrowser(),Chrome 134.0.6998.89,,,19-03-2025 21:13:33,19-03-2025 21:13:33,0.222s,PASSED
,,,,,,,
Test Cases/LoginPage,Chrome 134.0.6998.89,,,19-03-2025 21:13:33,19-03-2025 21:13:57,23.426s,PASSED
"DATA BINDING - {""invalidUsername"":""InvalidUsername@gmail.com"",""(Default) Expec..."":"""",""validPassword"":""Testing@12345"",""(Default) actua..."":"""",""validUsername"":""testing2025@gmail.com"",""InvalidPassword"":""Testing@345""}",,,,,,,
"openBrowser("""")",Chrome 134.0.6998.89,,,19-03-2025 21:13:33,19-03-2025 21:13:35,1.194s,PASSED
navigateToUrl(url),Chrome 134.0.6998.89,,,19-03-2025 21:13:35,19-03-2025 21:13:38,3.129s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,19-03-2025 21:13:38,19-03-2025 21:13:38,0.036s,PASSED
delay(2),Chrome 134.0.6998.89,,,19-03-2025 21:13:38,19-03-2025 21:13:40,2.008s,PASSED
